iter	Passed	Remaining
0	0	47
1	0	41
2	1	39
3	1	35
4	1	35
5	2	34
6	2	33
7	2	33
8	3	32
9	3	32
10	3	31
11	4	31
12	4	31
13	4	30
14	5	30
15	5	30
16	6	29
17	6	29
18	9	39
19	9	38
20	9	37
21	10	36
22	10	35
23	11	35
24	11	34
25	12	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	30
32	14	30
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	16	26
39	17	26
40	17	25
41	17	24
42	18	24
43	18	23
44	18	23
45	19	22
46	19	22
47	19	21
48	20	21
49	20	20
50	21	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	25	13
65	26	13
66	26	13
67	26	12
68	27	12
69	27	11
70	27	11
71	28	11
72	28	10
73	29	10
74	29	9
75	29	9
76	30	8
77	30	8
78	30	8
79	31	7
80	31	7
81	31	7
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	37	0
98	37	0
99	38	0
