iter	Passed	Remaining
0	47	47103
1	47	23940
2	48	16283
3	49	12413
4	50	10104
5	51	8546
6	52	7419
7	52	6567
8	53	5917
9	54	5373
10	54	4914
11	55	4536
12	55	4212
13	55	3934
14	56	3693
15	56	3481
16	56	3294
17	57	3128
18	57	2978
19	58	2844
20	58	2722
21	58	2617
22	59	2516
23	59	2423
24	60	2355
25	60	2276
26	61	2204
27	61	2136
28	61	2072
29	62	2012
30	62	1956
31	62	1904
32	63	1859
33	63	1813
34	64	1770
35	64	1729
36	64	1690
37	65	1653
38	65	1618
39	66	1586
40	66	1554
41	66	1524
42	67	1495
43	67	1467
44	67	1441
45	68	1417
46	68	1392
47	69	1369
48	69	1347
49	69	1326
50	70	1305
51	70	1285
52	70	1266
53	71	1248
54	71	1230
55	71	1213
56	72	1196
57	72	1180
58	73	1165
59	73	1150
60	73	1135
61	74	1122
62	74	1108
63	74	1095
64	75	1082
65	75	1069
66	75	1057
67	76	1045
68	76	1034
69	77	1023
70	77	1011
71	77	1002
72	78	992
73	78	982
74	78	972
75	79	963
76	79	953
77	79	944
78	80	935
79	80	927
80	80	918
81	81	910
82	81	900
83	81	893
84	82	885
85	82	880
86	83	872
87	83	866
88	83	859
89	84	852
90	84	845
91	84	838
92	85	832
93	85	826
94	86	819
95	86	813
96	86	807
97	87	801
98	87	796
99	87	790
100	88	785
101	88	779
102	88	774
103	89	769
104	89	763
105	89	758
106	90	753
107	90	748
108	91	744
109	91	739
110	91	735
111	92	730
112	92	726
113	92	721
114	93	717
115	93	713
116	93	709
117	94	705
118	94	700
119	95	696
120	95	692
121	95	688
122	96	684
123	96	681
124	96	677
125	97	673
126	97	669
127	97	666
128	98	663
129	98	659
130	98	656
131	99	652
132	99	649
133	100	646
134	100	642
135	100	639
136	101	636
137	101	633
138	101	630
139	102	627
140	102	624
141	102	620
142	103	617
143	103	614
144	103	611
145	104	609
146	104	606
147	104	603
148	105	600
149	105	598
150	105	595
151	106	592
152	106	590
153	106	587
154	107	585
155	107	582
156	108	580
157	108	577
158	108	575
159	109	572
160	109	569
161	109	567
162	110	565
163	110	562
164	110	560
165	111	558
166	111	556
167	111	553
168	112	551
169	112	549
170	112	547
171	113	545
172	113	543
173	114	541
174	114	539
175	114	536
176	115	534
177	115	532
178	115	530
179	116	528
180	116	527
181	116	525
182	117	523
183	117	521
184	117	519
185	118	517
186	118	516
187	119	514
188	119	512
189	119	511
190	120	509
191	120	507
192	121	506
193	121	504
194	121	502
195	122	501
196	122	499
197	122	497
198	123	496
199	123	494
200	123	492
201	124	491
202	124	489
203	125	487
204	125	486
205	125	484
206	126	483
207	126	482
208	126	480
209	127	480
210	128	479
211	128	477
212	128	476
213	129	474
214	129	473
215	130	472
216	130	470
217	130	469
218	131	467
219	131	466
220	131	464
221	132	463
222	132	461
223	132	460
224	133	459
225	133	457
226	134	456
227	134	455
228	134	453
229	135	452
230	135	451
231	136	450
232	136	448
233	136	447
234	137	446
235	137	445
236	137	444
237	138	442
238	138	441
239	139	440
240	139	438
241	139	437
242	140	436
243	141	438
244	141	436
245	143	438
246	143	437
247	143	436
248	144	434
249	144	433
250	144	432
251	145	431
252	145	429
253	145	428
254	146	427
255	146	426
256	147	425
257	147	424
258	147	422
259	148	421
260	148	420
261	148	419
262	149	418
263	149	417
264	149	416
265	150	414
266	150	413
267	151	412
268	151	411
269	151	410
270	152	409
271	152	408
272	152	407
273	153	406
274	153	404
275	153	403
276	154	402
277	154	401
278	155	400
279	155	399
280	155	398
281	156	397
282	156	396
283	156	395
284	157	394
285	157	393
286	158	392
287	158	391
288	158	390
289	159	389
290	159	388
291	161	392
292	162	392
293	163	391
294	163	390
295	163	389
296	164	388
297	164	387
298	164	386
299	165	385
300	165	384
301	166	383
302	166	383
303	166	382
304	167	381
305	167	380
306	167	379
307	168	378
308	168	377
309	169	376
310	169	375
311	169	374
312	170	373
313	170	372
314	170	371
315	171	370
316	171	370
317	172	369
318	172	368
319	172	367
